# form	pos	lemma	sense	freq
ཁང་ས	OTHER			
ཁང་སར་	OTHER			
ཁང་སྟོང་	NOUN			
ཁད	VERB			
ཁད་	NOUN			
ཁད་པ	VERB			
ཁད་པ་	VERB			
ཁན་	NOUN			
ཁབ	NOUN			
ཁབ་	NOUN			
ཁབ་གནས་	NOUN			
ཁབ་གུང་ཐང་	PROPN			
ཁབ་ལེན་རྡོ་	NOUN			
ཁབ་སྐུད་	NOUN			
ཁམ་	NOUN			
ཁམ་པ	NOUN			
ཁམ་བུ	NOUN			
ཁམ་བུ་	OTHER			
ཁམ་ཚད་	NOUN			
ཁམ་ཟན་	NOUN			
ཁམ་འབྲས་	NOUN			
ཁམས	NOUN			
ཁམས་	NOUN			
ཁམས་གཙང་	PROPN			
ཁམས་གཞུང་	OTHER			
ཁམས་གསུམ་	OTHER			
ཁམས་གསུམ་ཟང་	PROPN			
ཁམས་ཆེན་	OTHER			
ཁམས་དུབ་བསོ་བ་	NOUN			
ཁམས་པ	PROPN			
ཁམས་པ་	PROPN			
ཁམས་པ་སྒར་	PROPN			
ཁམས་བདེ་	NOUN			
ཁམས་བཟང་	OTHER			
ཁམས་བྱེ	PROPN			
ཁམས་ཚོ་	PROPN			
ཁམས་ཟད་	OTHER			
ཁམས་འགྲེལ་	OTHER			
ཁམས་ར	OTHER			
ཁམས་སྟོད་	OTHER			
ཁམས་སྤྲུལ་	PROPN			
ཁའུ་བྲག་	OTHER			
ཁའེ་ལོར་	PROPN			
ཁར	OTHER			
ཁར་རྩང་	ADV			
